City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Lagoa,PT,39.05,-27.9833,62.87,89,100,33.8,light rain
256,Tabas,IR,33.5959,56.9244,54.1,37,4,4.79,clear sky
257,Kavieng,PG,-2.5744,150.7967,81.16,75,100,2.44,light rain
258,Matias Olimpio,BR,-3.7158,-42.5556,100.71,28,57,2.24,broken clouds
259,Talara,PE,-4.5772,-81.2719,77.76,65,0,17.27,clear sky
260,Hartford,US,41.7668,-72.7662,36.32,64,0,11.5,clear sky
261,Bambanglipuro,ID,-7.95,110.2833,78.89,83,39,3.15,light rain
262,Prado,BR,-17.3411,-39.2208,80.08,74,98,11.59,overcast clouds
263,Adre,TD,13.4667,22.2,85.19,16,4,2.33,clear sky
264,Abu Dhabi,AE,24.4667,54.3667,75.31,58,0,6.91,clear sky
265,Chapais,CA,49.7834,-74.8492,9.16,94,89,3.11,overcast clouds
266,Guerrero Negro,MX,27.9769,-114.0611,55.63,61,100,2.19,overcast clouds
267,Kunya,NG,12.2233,8.5325,83.73,14,72,11.79,broken clouds
268,Vanimo,PG,-2.6741,141.3028,77.67,90,100,6.55,moderate rain
269,Gannan,CN,47.9147,123.5031,-1.64,98,100,2.3,overcast clouds
270,Saint George,US,37.1041,-113.5841,30.79,69,0,0.0,clear sky
271,Hofn,IS,64.2539,-15.2082,33.96,66,100,36.71,overcast clouds
272,Ryotsu,JP,38.0833,138.4333,38.88,92,98,4.47,overcast clouds
273,Mar Del Plata,AR,-38.0023,-57.5575,82.83,82,20,20.0,few clouds
274,Pangnirtung,CA,66.1451,-65.7125,9.82,79,100,2.39,overcast clouds
275,Ogembo,KE,-0.7984,34.7253,64.27,85,96,1.77,light rain
276,Nara,JP,34.6851,135.8049,42.49,69,1,2.66,clear sky
277,Freeport,US,40.6576,-73.5832,37.38,59,0,19.57,clear sky
278,Dikson,RU,73.5069,80.5464,-7.94,98,100,8.08,overcast clouds
279,Gamba,GA,-2.65,10.0,75.67,89,100,2.13,overcast clouds
280,Ancud,CL,-41.8697,-73.8203,61.34,70,72,7.34,broken clouds
281,Omsukchan,RU,62.5333,155.8,10.94,95,100,8.34,overcast clouds
282,Hay River,CA,60.8156,-115.7999,-25.78,96,31,4.76,scattered clouds
283,Tiksi,RU,71.6872,128.8694,-17.0,97,93,8.16,overcast clouds
284,Perth,AU,-31.9333,115.8333,81.66,34,0,16.11,clear sky
285,Araguacu,BR,-12.9306,-49.8264,72.03,95,100,5.06,light rain
286,Husavik,IS,66.0449,-17.3389,29.52,77,100,39.17,light snow
287,Oussouye,SN,12.485,-16.5469,97.81,13,2,10.56,clear sky
288,Mastic Beach,US,40.7668,-72.8521,37.6,60,0,13.8,clear sky
289,Kokkola,FI,63.8385,23.1307,30.36,95,100,12.66,overcast clouds
290,Scottsbluff,US,41.8666,-103.6672,2.52,78,0,0.0,clear sky
291,Menongue,AO,-14.6585,17.691,92.32,16,72,5.53,broken clouds
292,Bandarbeyla,SO,9.4942,50.8122,77.45,80,13,20.36,few clouds
293,Nuevitas,CU,21.5453,-77.2644,77.11,79,91,8.86,overcast clouds
294,Sakakah,SA,29.9697,40.2064,62.28,46,27,7.25,scattered clouds
295,Miyako,JP,39.6367,141.9525,29.16,72,26,3.89,scattered clouds
296,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,18.23,88,70,3.87,broken clouds
297,Daru,PG,-9.0763,143.2092,80.8,86,100,11.68,overcast clouds
298,Qui Nhon,VN,13.7667,109.2333,70.95,89,65,12.53,broken clouds
299,Saint-Leu,RE,-21.15,55.2833,79.66,78,90,2.24,light rain
300,Port Hedland,AU,-20.3167,118.5667,75.25,73,49,6.91,scattered clouds
301,Inuvik,CA,68.3499,-133.7218,-14.51,97,100,3.98,overcast clouds
302,Pemba,MZ,-12.974,40.5178,83.1,78,75,16.11,broken clouds
303,Barcelos,PT,41.5388,-8.6151,62.74,85,79,4.79,broken clouds
304,Letlhakane,BW,-21.4167,25.5833,98.28,12,71,12.28,broken clouds
305,Asau,RO,46.4333,26.4,31.28,38,60,6.71,broken clouds
306,Sinnamary,GF,5.3833,-52.95,81.63,70,91,11.7,overcast clouds
307,Pisco,PE,-13.7,-76.2167,71.65,83,29,10.36,scattered clouds
308,Vila Velha,BR,-20.3297,-40.2925,80.94,83,100,8.99,light rain
309,Miesbach,DE,47.789,11.8338,39.51,82,98,5.82,overcast clouds
310,Puerto Escondido,MX,15.85,-97.0667,79.63,83,0,8.05,clear sky
311,Anito,PH,12.4497,125.2886,76.44,90,100,11.86,overcast clouds
312,Ahipara,NZ,-35.1667,173.1667,59.38,93,6,4.99,clear sky
313,Wenling,CN,28.3669,121.36,50.7,75,99,3.65,overcast clouds
314,Yerbogachen,RU,61.2767,108.0108,-15.38,96,100,6.85,overcast clouds
315,Manuk Mangkaw,PH,4.8,119.85,82.29,78,100,8.57,overcast clouds
316,Flin Flon,CA,54.7682,-101.865,-7.91,96,100,6.87,overcast clouds
317,Anqiu,CN,36.4342,119.1925,31.96,63,34,3.83,scattered clouds
318,Tasiilaq,GL,65.6145,-37.6368,14.16,61,10,6.11,clear sky
319,Iqaluit,CA,63.7506,-68.5145,4.69,84,100,18.99,overcast clouds
320,Sao Filipe,CV,14.8961,-24.4956,79.83,55,0,14.61,clear sky
321,Champerico,GT,14.3,-91.9167,84.74,72,0,2.86,clear sky
322,Portland,US,45.5234,-122.6762,42.46,93,100,8.99,overcast clouds
323,Coihaique,CL,-45.5752,-72.0662,65.01,48,75,10.36,broken clouds
324,Bandundu,CD,-3.3167,17.3667,87.51,51,100,0.74,overcast clouds
325,Lompoc,US,34.6391,-120.4579,54.79,69,83,6.42,broken clouds
326,Thinadhoo,MV,0.5333,72.9333,81.61,72,98,11.14,overcast clouds
327,Juneau,US,58.3019,-134.4197,8.6,40,40,5.75,scattered clouds
328,Kushima,JP,31.4583,131.2333,44.87,79,14,3.22,few clouds
329,La Tuque,CA,47.4334,-72.7824,22.01,89,85,3.69,overcast clouds
330,Kutum,SD,14.2,24.6667,78.85,18,6,6.35,clear sky
331,Karachev,RU,53.1229,34.9852,26.78,82,100,12.5,light snow
332,Jiangyou,CN,31.7667,104.7167,44.74,54,0,2.73,clear sky
333,Vardo,NO,70.3705,31.1107,21.18,73,20,9.22,few clouds
334,Mirpur Sakro,PK,24.5474,67.6277,73.29,34,3,9.44,clear sky
335,Rocha,UY,-34.4833,-54.3333,83.19,38,29,15.3,scattered clouds
336,Dzhida,RU,50.6772,106.1806,-6.0,94,100,4.25,overcast clouds
337,Plainview,US,40.7765,-73.4673,35.98,61,0,17.27,clear sky
338,Shelburne,CA,44.0787,-80.2041,27.23,91,100,6.22,overcast clouds
339,Adrar,MR,20.5022,-10.0711,77.76,15,0,16.84,clear sky
340,Alugan,PH,12.2188,125.4808,76.91,91,100,13.09,overcast clouds
341,Batticaloa,LK,7.7102,81.6924,77.09,88,99,11.5,heavy intensity rain
342,Otjimbingwe,NA,-22.35,16.1333,92.73,17,0,17.45,clear sky
343,Teguise,ES,29.0605,-13.564,68.22,56,0,6.91,clear sky
344,Roma,US,43.2128,-75.4557,27.82,88,100,4.61,overcast clouds
345,Maraa,BR,-1.8333,-65.3667,83.19,71,100,3.83,overcast clouds
346,Ozernovskiy,RU,51.5,156.5167,28.29,73,100,5.19,overcast clouds
